id,claim,rating,image_url,permalink,publish_date
11,"A photograph shows two girls wearing ""Fuck Trump"" shirts.",unproven,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/denver-protest.jpg?w=506 506w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/fb-photos.jpg?w=1002 1002w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/fuck-trump-collage.jpg?w=600 600w']",https://www.snopes.com/fact-check/girls-trump-tshirts-rally/,2018-07-03T11:39:53+00:00
12,"A photograph shows a bag of sugar bearing a ""sugar free"" label.",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/sugar-free-sugar.jpg?w=500 500w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/publix-bag.jpg?w=600 600w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/07/sugar-equation.jpg?w=602 602w']",https://www.snopes.com/fact-check/sugar-free-sugar/,2018-07-02T16:35:10+00:00
13,"""Liberal"" protesters carried a banner calling for Republicans to be assassinated.",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/15107458_1164401370261562_5653070303901265587_n.jpg?w=960 960w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/09689f5d1930a11b3953bdd197b263b4-768x644.jpg?resize=768']",https://www.snopes.com/fact-check/trump-protesters-assassinate-republicans/,2018-06-26T11:22:10+00:00
14,"A child was expelled from elementary school for wearing a Donald Trump costume on ""Superhero Day.""",false,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/basil-karlo.jpg?w=500 500w'],https://www.snopes.com/fact-check/was-child-expelled-trump-costume/,2018-06-25T13:07:11+00:00
15,A video shows a man saving his friend from an attack by either an alligator or a crocodile.,miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/remote-alligator.jpg?w=600 600w'],https://www.snopes.com/fact-check/did-man-save-friend-from-reptilian-attack/,2018-06-25T12:13:37+00:00
16,"A photograph shows a group of ""Democrat party supporters"" protesting in the United States.",false,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/not-america.png?w=883 883w'],https://www.snopes.com/fact-check/are-these-women-protesting-trump/,2018-06-25T10:25:22+00:00
17,The king of the Netherlands tweeted that the International Court of Justice in the Hague is ready and waiting for Donald Trump.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/not-king-of-the-netherlands.jpg?w=605 605w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/Wiiiem-alexander.jpg?w=600 600w']",https://www.snopes.com/fact-check/did-king-tell-trump-hague/,2018-06-22T11:40:55+00:00
18,"A photograph shows a group holding a protest sign reading ""Obama don't separate me from my mommy.""",miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/obama-cages.jpg?w=734 734w'],https://www.snopes.com/fact-check/obama-dont-separate-mommy-protest-sign-real/,2018-06-21T16:28:28+00:00
19,"First Lady Melania Trump wore a jacket with ""I DON'T REALLY CARE DO U?"" emblazoned on the back on her way to visit immigrant kids.",true,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/i-dont-really-care-do-u.jpg?resize=821'],https://www.snopes.com/fact-check/melania-trump-wear-jacket-visiting-children-separated-families/,2018-06-21T13:27:59+00:00
20,An image from 2014 shows undocumented children separated from their parents by the Obama administration.,miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/2014-obama-separated-kids.jpg?w=909 909w'],https://www.snopes.com/fact-check/are-these-children-separated-by-obama/,2018-06-21T12:00:28+00:00
21,A photograph shows a Border Patrol agent following President Donald Trump's order to forcibly separate a child from his family.,miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/elian.png?w=719 719w'],https://www.snopes.com/fact-check/is-photograph-border-agents-separating-children/,2018-06-21T11:16:26+00:00
22,A photograph shows children holding guns on the US-Mexico border.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/drudge-report.jpg?w=1614 1614w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/ap-immigrants.jpg?w=1605 1605w']",https://www.snopes.com/fact-check/gun-toting-children-photographed-united-states-border/,2018-06-18T11:35:00+00:00
23,A photograph shows Lake Kawaguchi near Mount Fuji in Japan.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/lake-kawagauchi.jpg?w=554 554w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/mount-fuji-collage.jpg?w=537 537w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/lake.jpg?w=600 600w']",https://www.snopes.com/fact-check/is-this-lake-kawaguchi/,2018-06-12T17:17:17+00:00
24,A video shows Meghan Markle and Prince Harry behaving oddly in an 'Britain's Got Talent' audience.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/live-wax-figures.jpg?w=900 900w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/actors.jpg?w=2048 2048w']",https://www.snopes.com/fact-check/meghan-harry-royal-robots/,2018-06-12T15:19:03+00:00
25,A video shows a group of penguins living on an island of plastic.,false,[],https://www.snopes.com/fact-check/are-penguins-living-island-plastic/,2018-06-12T10:34:17+00:00
26,"A viral photograph posted in June 2018 shows ""the whole of London"" protesting on the streets in defense of jailed far-right activist Tommy Robinson.",miscaptioned,[],https://www.snopes.com/fact-check/tommy-robinson-protest-photo/,2018-06-12T09:39:46+00:00
27,A disturbing photograph depicts a small boy who was detained by ICE in 2018 being held in a cage.,miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/35050666_2064282013614545_1849759388374401024_n.jpg?w=720 720w'],https://www.snopes.com/fact-check/toddler-cage-photo/,2018-06-12T08:37:04+00:00
28,A still from a 1920s Charlie Chaplin silent film resembles an online meme popularized nearly a century later.,mostly true,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/charlie-chaplin-collage.jpg?w=3079 3079w'],https://www.snopes.com/fact-check/distracted-boyfriend-meme-come-real-movie/,2018-06-11T17:10:44+00:00
29,A photograph of children in orange jumpsuits depicts detained immigrant children.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/immigrant-children-orange-jumpsuits.jpg?w=640 640w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/immigrant-kids-jumpsuits.jpg?w=640 640w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/orange-jumpsuits-immigrant-kids-1.jpg?w=640 640w']",https://www.snopes.com/fact-check/are-children-orange-jumpsuits/,2018-06-11T09:54:27+00:00
30,A video shows a false eyebrow falling off the face of Canadian prime minister Justin Trudeau at the G7 Summit.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/the-donald.jpg?w=1449 1449w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/Collage-brows.jpg?w=2201 2201w']",https://www.snopes.com/fact-check/justin-trudeaus-eyebrow/,2018-06-11T08:29:55+00:00
31,Gas stations in Los Angeles are charging in excess of $6 for regular gasoline and $9 for higher-quality options.,false,[],https://www.snopes.com/fact-check/los-angeles-gas-price/,2018-06-05T14:32:05+00:00
32,Paramedics found the upper half of a woman's body clutching her phone in the aftermath of a car accident caused by texting while driving.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/derrell-hudson.jpg?w=496 496w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/tex-and-driving.jpg?w=497 497w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/capton-contest.jpg?w=499 499w']",https://www.snopes.com/fact-check/was-texting-driver-found-clutching-phone/,2018-06-04T14:28:17+00:00
33,"An official sign for Starbucks racial bias training explained that stores were closed to ""educate white people about their racism.""",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/not-starbucks-sign.jpg?w=598 598w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/starbucks-sign.jpg?w=806 806w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/06/starbucks-response-1.jpg?w=600 600w']",https://www.snopes.com/fact-check/sign-starbucks-racial-bias-training-single-white-people/,2018-06-01T11:06:39+00:00
34,A video shows a bridesmaid making an athletic move to catch a bouquet of flowers.,false,[],https://www.snopes.com/fact-check/is-amazing-wedding-bouquet-catch-real/,2018-05-30T10:29:52+00:00
35,A photograph shows Subtropical Storm Alberto approaching Pensacola Beach in Florida.,false,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fake-photo.jpg?w=573 573w'],https://www.snopes.com/fact-check/is-this-alberto-approaching-pensacola-beach/,2018-05-29T16:00:49+00:00
36,"An image shows an advertisement for a ""legally edible"" meat product called ""boned rolled pig.""",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/boned-rolled-pig-1.jpg?w=612 612w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/slagbestos-collage.jpg?w=1200 1200w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/mcneills.jpg?w=1202 1202w']",https://www.snopes.com/fact-check/did-stores-sell-boned-rolled-pig/,2018-05-29T11:34:52+00:00
37,A photograph shows a 'kids' concentration camp' in the U.S.,mixture,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/kidsprison.jpg?w=900 900w'],https://www.snopes.com/fact-check/childrens-concentration-camp/,2018-05-27T17:57:22+00:00
38,A video shows a woman abandoning her son on the side of the road in order to appease her partner.,miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fb-post.jpg?w=555 555w'],https://www.snopes.com/fact-check/did-woman-abandon-son/,2018-05-23T14:27:12+00:00
39,A video shows a powerful jet of water flipping a child at a park.,unproven,[],https://www.snopes.com/fact-check/child-flipped-by-fountain/,2018-05-21T14:52:29+00:00
40,Palestinians were caught faking the deaths of several martyrs when one of the 'corpses' was filmed moving.,false,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fake-martyrs-1.jpg?w=721 721w'],https://www.snopes.com/fact-check/martyrs-fake-death-video/,2018-05-21T13:52:51+00:00
41,A photograph shows millions of Germans abandoning their cars in protest over high gasoline prices.,miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/trafficjamfb.jpg?w=600 600w'],https://www.snopes.com/fact-check/german-fuel-protest-image/,2018-05-20T14:01:21+00:00
42,"Images show the aftermath of a plane crash in Havana, Cuba in May 2018.",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/plane-crash-1.jpg?w=1000 1000w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/plane-crash.jpg?w=1024 1024w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/us-bangla-airlines-crash.jpg?w=620 620w']",https://www.snopes.com/fact-check/is-this-plane-crash-havana-cuba/,2018-05-18T14:18:40+00:00
43,A video shows a group of ducks patiently waiting at a traffic light.,unproven,[],https://www.snopes.com/fact-check/did-ducks-obey-traffic-light/,2018-05-17T12:36:11+00:00
44,A photograph shows Nikola Tesla working as a swim instructor on a New York beach near the end of the 19th century.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/nikola-tesla.jpg?w=1879 1879w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/tesla-comparison.jpg?w=1002 1002w']",https://www.snopes.com/fact-check/nikola-tesla-swimming-instructor/,2018-05-16T14:57:56+00:00
45,A video shows a group of ostriches skiing down a mountain.,false,[],https://www.snopes.com/fact-check/skiing-ostriches-real/,2018-05-16T12:30:03+00:00
46,"President Trump tweeted that there should be a Mother's Day for fathers, but ""the liberal media won't let that happen.""",false,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/trump-fathers-day.jpg?w=517 517w'],https://www.snopes.com/fact-check/president-donald-trump-tweet-mothers-day-fathers/,2018-05-16T09:04:10+00:00
47,"Fisher-Price manufactured a ""Tiny Toker"" toyset featuring a toy bong and other marijuana paraphernalia.",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/tiny-toker-1.jpg?w=920 920w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/toker-toy.jpg?w=600 600w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/doobys-dog-toys.jpg?w=1558 1558w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fake-products.jpg?w=2000 2000w']",https://www.snopes.com/fact-check/did-fisher-price-release-tiny-toker/,2018-05-15T12:13:23+00:00
48,"A photograph shows the first ""blue bow trout"" caught in Pennsylvania.",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/blue-bow-trout.jpg?w=823 823w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/fish-collage.jpg?w=1000 1000w']",https://www.snopes.com/fact-check/blue-bow-trout-real/,2018-05-15T10:14:02+00:00
49,"Image depicts a military spouses gathering at the White House, and no people of color were included.",miscaptioned,[],https://www.snopes.com/fact-check/military-spouses-white-house/,2018-05-14T14:04:09+00:00
50,A man carried his horse for three miles after it was bitten by a venomous snake.,miscaptioned,[],https://www.snopes.com/fact-check/man-carry-horse-snakebite/,2018-05-14T10:14:56+00:00
51,"An image shows an Asian giant hornet, a large insect with a potentially deadly sting.",miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/toy-giant-hornet.jpg?w=800 800w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/wasp-toy.jpg?w=720 720w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/beetle-collage.jpg?w=1500 1500w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/asian-hornets.jpg?w=1000 1000w']",https://www.snopes.com/fact-check/is-this-asian-giant-hornet/,2018-05-11T12:48:12+00:00
52,A photograph captures a couple kissing amidst the 1971 May Day protests.,false,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/rayban.jpg?w=600 600w'],https://www.snopes.com/fact-check/may-day-protests-kiss/,2018-05-11T08:06:10+00:00
53,A vintage Heineken advertisement showed a toddler drinking a beer and boasted about having the youngest customers in the business.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/heineken-ad.jpg?w=600 600w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/heineken-vintage-ad.jpg?w=800 800w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/vintage-7ups.jpg?w=1200 1200w']",https://www.snopes.com/fact-check/heineken-beer-ad-babies/,2018-05-10T13:33:54+00:00
54,A photograph shows President Barack Obama bowing to Iran's supreme leader Ali Khamenei.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/not-obama-bowing.jpg?w=478 478w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/caption-contest.jpg?w=525 525w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/all-the-right-snark.jpg?w=640 640w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/obama-bowing-colalge.jpg?w=1000 1000w']",https://www.snopes.com/fact-check/president-obama-bow-ayatollah-khamenei/,2018-05-09T17:02:01+00:00
55,A photograph shows a twelve-pound rat that was caught in London.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/31437451_1694623843961056_9045261226293311056_n.jpg?w=600 600w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/hackney.jpg?w=730 730w']",https://www.snopes.com/fact-check/was-twelve-lb-rat-london/,2018-05-09T10:50:26+00:00
56,"A ""Welcome to Kansas City"" sign features an amusing, but unfortunate typo welcoming 25 million visitors ""anally,"" not ""annually.""",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/kansas-city.jpg?w=899 899w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/kc-sign-real.jpg?w=595 595w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/sign-2.jpg?w=1536 1536w']",https://www.snopes.com/fact-check/does-welcome-sign-kansas-city-typo/,2018-05-08T08:50:44+00:00
57,A photograph shows a purple horned winged lizard.,false,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/purple-horned-winged-lizard.jpg?w=700 700w'],https://www.snopes.com/fact-check/purple-horned-winged-lizard/,2018-05-07T12:19:04+00:00
58,Images show a number of mutant sharks with two heads.,mostly false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/two-headed-shark.jpg?w=745 745w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/two-headed-shark-2.jpg?w=956 956w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/great-white-shark-collage.jpg?w=2341 2341w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/six-headed-shark-attack.jpg?w=704 704w']",https://www.snopes.com/fact-check/two-headed-sharks-terrorizing-ocean/,2018-05-04T16:30:58+00:00
59,"A video shows a vampire squid turning itself inside out, revealing sharp barbs on the underside of its hood.",mostly true,[],https://www.snopes.com/fact-check/is-vampire-squid-turning-inside-out/,2018-05-04T11:45:35+00:00
60,A set of images show a congenital anomaly that resulted in an a hand with eight fingers.,mixture,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/A-set-of-images-show-a-congenital-anomaly-.jpg?w=600 600w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/dr-rapesh.jpg?w=1024 1024w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/mirror-hand-3.jpg?w=2000 2000w']",https://www.snopes.com/fact-check/real-hand-eight-fingers/,2018-05-03T14:59:48+00:00
61,An exorcism in 1988 saved a house from destruction during Hurricane Ike in 2008.,miscaptioned,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/Home_designed_to_resist_flood_waters.jpg?w=2724 2724w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/31502079_584388228595654_3254621643045076992_n.jpg?w=640 640w']",https://www.snopes.com/fact-check/last-house-standing-hurricane-exorcism/,2018-05-03T14:38:17+00:00
62,"Netflix announced in April 2018 that they are creating a new series based on the video game ""God of War.""",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/god-of-war.jpg?w=720 720w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/mamoa-god-of-war.jpg?w=2000 2000w']",https://www.snopes.com/fact-check/did-netflix-announce-god-of-war-series/,2018-05-03T12:42:25+00:00
63,"A sign at the United States border and sponsored by the Democratic party informs travelers from Mexico that there's ""lots of free stuff ahead.""",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/ObamaUSbordersign.jpg?w=400 400w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/shariah-free-zone.jpg?w=1200 1200w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/mexico-signs.jpg?w=1200 1200w']",https://www.snopes.com/fact-check/is-u-s-border-sign-free-stuff-real/,2018-05-02T12:36:10+00:00
64,A photograph shows a hearse being towed away in the middle of a funeral procession.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/hearse.jpg?w=500 500w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/hearse-mic.jpg?w=500 500w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/05/bbc-rev.jpg?w=640 640w']",https://www.snopes.com/fact-check/was-hearse-towed-during-funeral/,2018-05-01T09:23:10+00:00
65,A photograph shows a remarkable sunset over Moscow.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/apocalyptic-sunset-over-moscow.jpg?w=724 724w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/sunset-from-above-the-clouds.jpg?w=1024 1024w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/cloud-Collage.jpg?w=1202 1202w']",https://www.snopes.com/fact-check/is-sunset-moscow-real/,2018-04-30T11:46:25+00:00
66,A photograph captures a man washing aborted fetuses in Brazil.,miscaptioned,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/fetus_burial.jpg?w=600 600w'],https://www.snopes.com/fact-check/washing-aborted-fetuses/,2018-04-30T08:41:24+00:00
67,A newspaper article from 2015 reported that comedian Michelle Wolf had been arrested for bestiality,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/michelle-wolf-newspaper.jpg?w=1242 1242w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/newspaper-generator.jpg?w=505 505w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/fake-news-michelle-wolf.jpg?w=370 370w']",https://www.snopes.com/fact-check/michelle-wolf-newspaper-arrest/,2018-04-30T08:20:53+00:00
68,A Russian man locked his head in a cage in an attempt to stop smoking.,mostly true,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/russian-smoker.jpg?w=1242 1242w'],https://www.snopes.com/fact-check/did-man-lock-head-cage/,2018-04-26T10:43:02+00:00
69,"President Donald Trump was labeled as either the best or the worst president ever on the cover of ""Time"" magazine.",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/best-and-worst-presidents.jpg?w=1433 1433w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/trump-cover-collage.jpg?w=1200 1200w']",https://www.snopes.com/fact-check/was-trump-best-worst-president-time/,2018-04-25T11:10:25+00:00
70,A video shows a man riding a motorcycle over Lake Como.,mostly true,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/hydro-mx-motorcycle.jpg?w=1200 1200w'],https://www.snopes.com/fact-check/daredevil-ride-motorcycle-lake-como/,2018-04-24T16:47:32+00:00
71,A video shows an ice fisherman getting eaten by an orca.,false,[],https://www.snopes.com/fact-check/did-orca-eat-an-ice-fisherman/,2018-04-24T10:48:06+00:00
72,A photograph shows a mysterious 7-foot creature that has been terrorizing a village in Argentina.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/dogman.jpg?w=584 584w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/harry-potter-wolf.jpg?w=1441 1441w']",https://www.snopes.com/fact-check/mysterious-creature-terrorizing-argentina/,2018-04-20T18:13:02+00:00
73,A video report from the BBC stated that a nuclear war had started between NATO and Russia.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/fake-bbc-report.jpg?w=1200 1200w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/bbc-tweets.jpg?w=581 581w']",https://www.snopes.com/fact-check/bbc-nato-russia-nuclear-incident/,2018-04-20T12:02:16+00:00
74,"A series of images ""prove"" that the White Helmets ""staged"" a chemical attack in Syria.",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/mcgonigle.jpg?w=560 560w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/syria-collage.jpg?w=1500 1500w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/revolution-man.jpg?w=1366 1366w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/white-helmets-.jpg?w=610 610w']",https://www.snopes.com/fact-check/is-this-proof-white-helmets-staged-chemical-attack/,2018-04-19T11:47:09+00:00
75,"Starbucks offered coupons exclusively to customers of ""African-American heritage.""",false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/qr-code-fake.jpg?w=1000 1000w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/4chan.jpg?w=1021 1021w']",https://www.snopes.com/fact-check/starbucks-coupon-for-black-customers-only/,2018-04-18T10:47:00+00:00
76,Mark Zuckerberg announced in a video that he was shutting down Facebook.,false,['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/facebook-videos.jpg?w=745 745w'],https://www.snopes.com/fact-check/mark-zuckerberg-closing-facebook/,2018-04-18T08:51:45+00:00
77,A photograph shows a statue guarding the Tomb of the Unknown Soldier that was knocked over by vandals.,false,"['https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/knocked-over-statue.jpg?w=717 717w', 'https://us-east-1.tchyn.io/snopes-production/uploads/2018/04/david-applewhite-facebook.jpg?w=464 464w']",https://www.snopes.com/fact-check/was-statue-unknown-soldier-vandals/,2018-04-17T11:43:34+00:00
78,A video shows a Vermont State Trooper's being attacked by a group of children on a school bus.,false,[],https://www.snopes.com/fact-check/vermont-state-trooper-attacked-hooligans/,2018-04-16T15:49:15+00:00
